City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,aldinga beach,-35.2793,138.4604,9.26,79,0,5.74,AU,1689613327
84,sarmiento,-45.5882,-69.07,-1.54,74,6,0.82,AR,1689613867
85,chonchi,-42.6128,-73.8092,6.56,54,39,1.21,CL,1689613582
86,nar'yan-mar,67.6713,53.087,19.07,66,67,2.0,RU,1689613867
87,lent'ekhi,42.7856,42.7261,14.56,97,80,0.8,GE,1689613842
88,utrik,11.2278,169.8474,28.03,77,76,4.81,MH,1689613584
89,mazagao,-0.115,-51.2894,31.03,49,9,2.34,BR,1689613301
90,san pablo tecalco,19.6667,-98.95,20.45,42,5,0.93,MX,1689613868
91,margaret river,-33.95,115.0667,14.77,84,98,6.13,AU,1689613625
92,canton,23.1167,113.25,27.15,85,100,7.39,CN,1689613646
93,saipan,15.1355,145.701,27.58,100,20,3.09,MP,1689613595
94,east london,-33.0153,27.9116,18.99,62,58,1.46,ZA,1689613603
95,olonkinbyen,70.9221,-8.7187,4.71,97,100,10.36,SJ,1689613589
96,tuy hoa,13.0833,109.3,27.28,74,96,6.75,VN,1689613870
97,bilopillya,51.1502,34.3129,22.39,56,14,1.13,UA,1689613870
98,bilibino,68.0546,166.4372,19.18,56,51,1.26,RU,1689613589
99,ushuaia,-54.8,-68.3,4.79,87,100,2.12,AR,1689613606
100,jabor,5.921,169.6434,28.08,77,100,4.84,MH,1689613870
101,at taj,24.2049,23.2857,36.67,11,0,4.78,LY,1689613871
102,port macquarie,-31.4333,152.9167,11.05,93,23,1.71,AU,1689613873
103,bamyan,34.75,67.25,14.72,28,0,4.72,AF,1689613873
104,edeia,-17.3383,-49.9314,32.65,25,59,0.16,BR,1689613873
105,whitehorse,60.7161,-135.0538,14.5,93,100,1.03,CA,1689613452
106,west island,-12.1568,96.8225,22.99,83,100,5.14,CC,1689613578
107,tangalle,6.024,80.7911,26.32,87,99,6.0,LK,1689613874
108,kimbe,-5.5502,150.1429,25.24,86,98,2.97,PG,1689613874
109,ha'il,27.5219,41.6907,35.44,9,0,5.9,SA,1689613874
110,murrells inlet,33.551,-79.0414,34.6,63,0,3.6,US,1689613875
111,petropavlovsk-kamchatsky,53.0452,158.6483,11.98,95,83,0.81,RU,1689613652
112,togur,58.3631,82.8265,13.82,62,21,2.73,RU,1689613875
113,vernon,50.2581,-119.2691,26.45,37,5,4.47,CA,1689613685
114,praia da vitoria,38.7333,-27.0667,22.09,75,43,2.89,PT,1689613875
115,kodiak,57.79,-152.4072,11.73,87,100,4.12,US,1689613655
116,udachny,66.4167,112.4,9.14,100,100,5.57,RU,1689613400
117,aasiaat,68.7098,-52.8699,3.17,96,100,1.73,GL,1689613613
118,fale old settlement,-9.3852,-171.2468,28.5,76,98,6.1,TK,1689613602
119,xiva,41.3783,60.3639,22.99,57,95,9.41,UZ,1689613876
120,sensuntepeque,13.8667,-88.6333,28.97,47,99,0.35,SV,1689613877
121,port elizabeth,-33.918,25.5701,16.16,82,0,3.6,ZA,1689613580
122,zambezi,-13.5432,23.1047,19.3,27,0,2.36,ZM,1689613877
123,wuchuan,21.4571,110.7659,26.63,94,100,18.85,CN,1689613740
124,carnarvon,-24.8667,113.6333,17.34,57,1,4.52,AU,1689613615
125,argo,37.6333,22.7333,33.21,33,0,3.04,GR,1689613878
126,rio verde,21.9333,-99.9833,27.75,43,47,2.7,MX,1689613878
127,bamboo flat,11.7,92.7167,27.73,85,100,8.02,IN,1689613878
128,cabedelo,-6.9811,-34.8339,29.37,74,52,6.71,BR,1689613267
129,camapua,-19.5314,-54.0439,32.04,28,1,3.22,BR,1689613879
130,hadibu,12.65,54.0333,25.71,76,5,8.59,YE,1689613879
131,guerrero negro,27.9769,-114.0611,25.32,60,38,3.81,MX,1689613634
132,mar del plata,-38.0023,-57.5575,9.49,78,75,6.69,AR,1689613360
133,reedsburg,43.5325,-90.0026,23.94,48,75,5.14,US,1689613825
134,tazacorte,28.629,-17.9293,24.54,71,40,6.69,ES,1689613365
135,seven pagodas,12.6264,80.1722,31.14,70,95,2.99,IN,1689613880
136,minas de marcona,-15.2119,-75.1103,18.05,57,30,5.98,PE,1689613442
137,labrador city,52.9463,-66.9114,20.95,88,75,2.06,CA,1689613881
138,nishinoomote,30.7333,131.0,27.36,87,19,5.06,JP,1689613881
139,larkird,35.4894,66.6641,22.92,30,0,1.86,AF,1689613881
140,xinyuan,37.3,99.0,5.87,85,76,1.4,CN,1689613881
141,mount isa,-20.7333,139.5,18.87,45,40,2.57,AU,1689613292
142,port lincoln,-34.7333,135.8667,10.68,80,0,4.53,AU,1689613603
143,kerikeri,-35.2268,173.9474,7.73,93,17,0.45,NZ,1689613882
144,yanam,16.7333,82.2167,26.04,77,97,4.93,IN,1689613882
145,dunedin,-45.8742,170.5036,13.78,43,91,0.89,NZ,1689613695
146,georgetown,5.4112,100.3354,28.96,83,20,1.03,MY,1689613494
147,mount gambier,-37.8333,140.7667,9.03,80,29,4.36,AU,1689613703
148,thika,-1.0333,37.0693,19.76,52,93,0.17,KE,1689613883
149,puerto baquerizo moreno,-0.9,-89.6,27.55,78,75,8.23,EC,1689613883
150,crane,31.3974,-102.3501,34.94,22,0,7.86,US,1689613883
151,weno,7.4515,151.8468,28.62,74,99,5.97,FM,1689613571
152,kuloy,61.0305,42.4925,22.08,58,42,2.13,RU,1689613884
153,malpica,43.3228,-8.8105,26.05,67,0,7.16,ES,1689613884
154,ulsteinvik,62.3432,5.8487,15.42,92,97,4.02,NO,1689613884
155,tual,-5.6667,132.75,26.77,76,99,8.31,ID,1689613884
156,scottburgh,-30.2867,30.7532,18.38,71,3,2.83,ZA,1689613885
157,bethel,41.3712,-73.414,31.61,60,0,3.6,US,1689613577
158,hami,42.8,93.45,33.46,15,46,13.32,CN,1689613885
159,sao joao do piaui,-8.3581,-42.2467,34.48,22,0,4.58,BR,1689613885
160,lata,40.1629,-8.3327,29.16,41,4,4.03,PT,1689613663
161,trogir,43.5125,16.2517,36.03,24,0,4.63,HR,1689613886
162,port mathurin,-19.6833,63.4167,23.5,76,62,12.82,MU,1689613581
163,kalmunai,7.4167,81.8167,28.61,70,100,2.58,LK,1689613760
164,gaillimh,53.2719,-9.0489,15.66,74,91,5.19,IE,1689613808
165,levuka,50.1834,-105.4011,21.85,49,100,7.72,CA,1689613891
166,kailua-kona,19.6406,-155.9956,24.98,80,20,2.57,US,1689613629
167,sinabang,2.4803,96.3801,26.46,82,99,2.37,ID,1689613892
168,yulinshi,38.2906,109.7494,25.1,35,2,5.82,CN,1689613892
169,montgomery,39.1501,-77.1997,32.58,63,0,2.06,US,1689613834
170,avarua,-21.2078,-159.775,19.03,94,100,3.09,CK,1689613599
171,kismayo,-0.3582,42.5454,25.09,79,48,8.14,SO,1689613893
172,lihue,21.9789,-159.3672,26.77,77,40,5.66,US,1689613609
173,kamaishi,39.2667,141.8833,23.44,89,41,2.79,JP,1689613893
174,qaqortoq,60.7167,-46.0333,10.98,81,62,1.41,GL,1689613606
175,onega,63.9061,38.1404,20.7,59,100,3.4,RU,1689613893
176,luwuk,-0.9516,122.7875,24.55,85,86,2.91,ID,1689613451
177,nova vicosa,-17.8919,-39.3719,27.6,60,2,5.0,BR,1689613894
178,klyuchi,52.2667,79.1667,20.54,54,11,2.81,RU,1689613594
179,college,64.8569,-147.8028,18.38,76,40,0.0,US,1689613605
180,altoona,40.5187,-78.3947,27.99,65,62,4.72,US,1689613808
181,ain smara,36.2674,6.5014,37.47,20,40,7.2,DZ,1689613895
182,ayorou,14.7308,0.9174,40.28,22,84,3.83,NE,1689613895
183,chibougamau,49.9168,-74.3659,22.79,64,0,4.78,CA,1689613569
184,jamestown,42.097,-79.2353,26.12,57,40,5.66,US,1689613279
185,kudat,6.8837,116.8477,26.12,86,100,2.34,MY,1689613896
186,karratha,-20.7377,116.8463,19.62,40,3,2.36,AU,1689613703
187,altamont,42.2068,-121.7372,24.32,40,0,2.06,US,1689613896
188,akrehamn,59.2667,5.1833,14.14,77,75,7.2,NO,1689613896
189,nanao,37.05,136.9667,26.27,91,67,1.04,JP,1689613897
190,jiazi,22.8779,116.067,27.48,89,100,7.22,CN,1689613897
191,yakeshi,49.2833,120.7333,17.46,82,21,1.55,CN,1689613399
192,isola di capo rizzuto,38.96,17.0933,34.55,48,0,2.31,IT,1689613899
193,malpe,13.35,74.7167,27.61,86,100,5.97,IN,1689613899
194,kapuskasing,49.4169,-82.4331,16.05,82,100,3.6,CA,1689613599
195,chengam,12.3,78.8,28.88,55,97,5.87,IN,1689613899
196,aliwal north,-30.6937,26.7114,12.6,33,3,2.67,ZA,1689613899
197,paraparaumu,-40.9167,175.0167,10.7,87,85,4.32,NZ,1689613900
198,puerto ayora,-0.7393,-90.3518,28.98,91,59,5.36,EC,1689613406
199,howrah,22.5892,88.3103,28.0,94,40,1.54,IN,1689613535
200,dakhla,23.6848,-15.958,25.01,65,0,8.75,EH,1689613319
201,ishigaki,24.3448,124.1572,28.57,82,98,8.14,JP,1689613900
202,zaragoza,41.6561,-0.8773,35.81,34,0,5.14,ES,1689613678
203,bari,41.1177,16.8512,36.25,47,0,2.06,IT,1689613901
204,st. john's,47.5649,-52.7093,30.15,66,75,5.66,CA,1689613518
205,mejit,10.2753,170.8646,27.51,81,98,4.78,MH,1689613901
206,lakatoro,-16.0999,167.4164,24.59,81,99,8.31,VU,1689613901
207,illizi,26.4833,8.4667,39.89,8,20,6.42,DZ,1689613901
208,tolanaro,-25.0319,46.9987,19.34,82,2,1.1,MG,1689613650
209,kindu,-2.95,25.95,28.14,34,8,0.53,CD,1689613902
210,hasaki,35.7333,140.8333,26.28,91,0,0.23,JP,1689613651
211,fort st. john,56.2499,-120.8529,14.94,72,100,3.6,CA,1689613888
212,selfoss,63.9331,-20.9971,17.25,46,95,4.6,IS,1689613902
213,shalqar,47.8333,59.6,24.14,41,100,4.99,KZ,1689613903
214,vorgashor,67.5833,63.95,12.79,86,21,3.0,RU,1689613569
215,jwaneng,-24.6004,24.7303,15.4,27,0,4.25,BW,1689613903
216,zhoushan,30.0108,122.2047,26.27,95,85,3.6,CN,1689613630
217,manturovo,58.3353,44.7619,20.04,75,53,2.04,RU,1689613904
218,talnakh,69.4865,88.3972,11.23,86,99,5.87,RU,1689613575
219,quelimane,-17.8786,36.8883,18.84,71,0,2.03,MZ,1689613618
220,narvik,68.4384,17.4272,18.54,89,97,1.34,NO,1689613904
221,tokonou,9.65,-9.7833,25.79,87,98,0.84,GN,1689613905
222,papatowai,-46.5619,169.4708,10.58,87,100,9.21,NZ,1689613726
223,piton saint-leu,-21.2196,55.3151,21.04,83,100,2.06,RE,1689613905
224,shitanjing,39.2342,106.3439,25.76,31,5,4.99,CN,1689613905
225,inyati,-19.6756,28.8469,12.73,27,1,3.51,ZW,1689613905
226,mount pearl,47.5166,-52.7813,29.69,60,94,3.13,CA,1689613693
227,hamilton,39.1834,-84.5333,28.82,71,20,5.14,US,1689613863
228,kruisfontein,-34.0033,24.7314,12.82,90,49,1.78,ZA,1689613667
229,kudahuvadhoo,2.6708,72.8944,28.67,74,35,3.69,MV,1689613382
230,jiayuguan,39.8167,98.3,27.32,17,0,3.33,CN,1689613858
231,vorkuta,67.5,64.0,13.13,87,15,3.0,RU,1689613906
232,kindia,10.0569,-12.8658,23.14,93,99,1.72,GN,1689613907
233,pisco,-13.7,-76.2167,21.03,64,100,3.09,PE,1689613907
234,sarzana,44.1115,9.9586,29.73,64,13,2.0,IT,1689613907
235,flying fish cove,-10.4217,105.6791,24.82,83,75,4.63,CX,1689613592
